Style,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,PrimaryTemp
American Stout,13.67,88.37,43.44,28.39,120,1.092,70.0,1.25,19.44
American Amber Ale,4.54,47.64,8.19,22.0,60,1.033,73.0,5.0,15.0
American Amber Ale,6.02,116.04,6.81,23.66,45,1.052,81.0,1.5,17.22
American Amber Ale,5.2,58.07,12.3,20.0,60,1.0490000000000002,65.0,2.5,24.0
American Stout,5.62,68.07,40.0,24.61,60,1.06,75.0,1.5,21.11
American Amber Ale,5.86,39.31,12.44,28.0,60,1.0490000000000002,75.0,3.0,19.0
American Amber Ale,5.4,53.68,16.54,22.0,60,1.042,60.0,2.5,19.0
American Brown Ale,6.98,43.94,22.88,26.5,60,1.05,77.0,1.68,18.33
American Brown Ale,5.98,37.66,21.05,28.5,60,1.051,74.0,2.9,18.5
American Stout,5.95,30.9,23.14,16.0,90,1.055,73.0,3.6,20.0
American Brown Ale,5.28,39.02,22.7,26.0,60,1.044,75.0,4.0,20.0
American Brown Ale,4.88,26.89,22.11,37.85,60,1.044,70.0,1.5,23.89
American Stout,10.07,103.16,50.0,35.0,120,1.06,73.0,3.5,20.0
American Stout,5.42,35.05,37.34,57.0,60,1.0490000000000002,75.0,3.0,20.0
American Amber Ale,8.85,78.85,17.17,28.39,60,1.069,70.0,1.5,18.33
American Light Lager,5.42,28.64,4.11,22.0,60,1.047,70.0,2.7,22.0
American Brown Ale,6.04,60.83,21.5,43.53,90,1.056,75.0,1.4,22.22
American Stout,6.85,72.11,37.79,23.47,60,1.047,70.0,1.5,18.89
American Amber Ale,4.81,70.12,4.47,27.0,70,1.04,70.0,3.0,18.0
American Brown Ale,6.23,87.02,19.34,52.62,60,1.057,80.0,1.45,18.33
American Amber Ale,6.93,25.41,14.99,22.71,60,1.053,60.0,1.5,21.11
American Amber Ale,4.73,28.76,13.49,32.18,90,1.033,75.0,1.75,16.67
American Brown Ale,4.87,29.62,21.66,28.39,60,1.041,70.0,1.5,19.44
American Stout,5.36,47.25,40.0,3747.56,60,1.054,85.0,1.4,18.33
American Stout,7.64,64.83,41.03,28.39,75,1.058,70.0,1.33,20.0
American Amber Ale,6.4,43.53,15.81,26.5,60,1.051,70.0,1.5,19.44
American Amber Ale,5.95,86.86,12.84,28.39,60,1.044,70.0,1.25,21.11
American Brown Ale,6.44,25.72,20.15,26.5,60,1.045,75.0,1.5,17.78
American Stout,9.34,58.71,50.0,26.5,60,1.077,72.0,3.0,20.0
American Stout,6.96,75.02,38.06,49.21,60,1.068,70.0,1.25,18.89
American Stout,6.8,70.92,32.66,38.0,60,1.0590000000000002,74.0,3.0,20.0
American Amber Ale,5.97,45.07,9.46,30.0,90,1.048,70.0,3.2,20.0
American Amber Ale,5.88,33.68,14.31,7.57,60,1.037,55.0,1.5,15.56
American Amber Ale,5.04,70.09,4.11,54.0,70,1.04,70.0,3.0,18.0
American Amber Ale,6.37,79.33,15.08,18.93,60,1.06,30.0,1.2,20.0
American Amber Ale,5.06,28.83,13.21,28.39,60,1.036,70.0,1.5,20.0
American Amber Ale,5.56,25.31,15.16,30.28,60,1.0390000000000001,72.5,1.5,20.0
American Brown Ale,5.74,34.89,15.24,2600.0,70,1.054,77.0,4.0,18.0
American Brown Ale,5.18,35.05,20.64,22.71,60,1.046,75.0,1.75,18.33
American Amber Ale,5.72,46.94,17.62,19.68,60,1.041,70.0,1.45,19.44
American Brown Ale,5.68,35.95,23.08,24.34,90,1.0490000000000002,70.0,1.5,15.56
American Brown Ale,5.12,26.55,26.57,15.14,75,1.0290000000000001,70.0,1.25,16.67
American Brown Ale,5.98,33.55,24.6,51.1,60,1.0490000000000002,78.0,1.25,18.89
American Brown Ale,5.0,23.57,23.98,24.61,60,1.043,70.0,1.5,18.33
American Stout,5.9,47.01,42.94,28.39,60,1.044,70.0,1.5,20.0
American Stout,6.54,27.37,40.0,64.35,60,1.0590000000000002,67.0,1.5,22.22
American Amber Ale,6.5,90.78,21.64,51.1,60,1.058,70.0,1.5,20.0
American Amber Ale,4.9,39.32,14.32,31.0,70,1.042,60.0,3.0,20.0
American Light Lager,3.84,38.18,2.71,26.0,60,1.028,60.0,3.0,18.0
American Brown Ale,5.25,26.07,33.08,26.5,60,1.043,70.0,1.5,18.89
American Amber Ale,4.8,26.42,13.98,5.68,90,1.032,55.0,1.5,18.33
American Stout,5.68,78.25,40.0,28.39,60,1.046,65.0,1.3,15.56
American Amber Ale,5.44,54.15,17.31,24.61,60,1.046,70.0,1.29,20.0
American Amber Ale,5.86,28.29,15.2,30.28,60,1.034,70.0,1.5,16.67
American Light Lager,4.6,13.29,2.53,53.0,60,1.0390000000000001,80.0,1.5,10.0
American Brown Ale,5.7,22.39,29.83,33.5,60,1.0390000000000001,72.0,1.5,20.0
American Brown Ale,5.76,31.34,25.29,24.61,60,1.045,70.0,1.5,18.33
American Stout,5.03,63.39,39.52,47.32,60,1.041,70.0,1.2,20.56
American Brown Ale,6.17,56.23,19.08,60.0,90,1.054,80.0,3.0,18.0
American Light Lager,5.42,16.97,5.54,49.21,60,1.044,70.0,1.25,10.0
American Stout,5.32,39.62,37.91,28.39,60,1.051,60.0,1.5,21.11
American Stout,7.54,44.12,9.71,22.71,60,1.068,65.0,1.25,21.11
American Amber Ale,5.44,25.54,12.62,26.5,60,1.043,70.0,1.5,20.0
American Amber Ale,6.72,46.15,13.66,28.39,60,1.05,75.0,1.25,20.0
American Brown Ale,5.35,33.7,19.47,62.0,60,1.042,80.0,3.0,19.0
American Amber Ale,5.17,78.47,7.86,28.4,60,1.038,70.0,3.1,22.0
American Amber Ale,6.01,36.05,14.31,30.28,60,1.041,70.0,1.5,17.78
American Brown Ale,5.24,32.8,19.5,49.21,60,1.041,70.0,1.0,20.0
American Amber Ale,5.64,37.3,11.77,28.5,60,1.044,70.0,4.0,20.0
American Stout,6.9,52.32,46.48,42.5,60,1.053,60.0,2.6,20.0
American Amber Ale,6.41,49.95,17.61,49.21,90,1.055,72.0,1.5,19.44
American Amber Ale,7.94,32.96,16.31,24.61,60,1.057,75.0,2.1,23.89
American Stout,6.74,122.85,50.0,26.5,60,1.048,55.0,1.5,22.22
American Amber Ale,7.08,38.08,12.5,28.39,60,1.052,80.0,1.5,20.0
American Amber Ale,5.41,27.37,14.68,14.7,60,1.043,79.0,3.0,18.0
American Amber Ale,4.84,85.81,16.73,30.28,60,1.033,70.0,1.5,18.33
American Amber Ale,5.49,41.55,15.69,26.5,60,1.036,65.0,1.25,18.33
American Amber Ale,7.49,28.19,18.16,23.0,60,1.063,76.5,3.0,20.0
American Amber Ale,6.0,37.34,13.48,26.5,60,1.045,66.0,1.5,20.0
American Stout,6.99,89.62,46.85,28.7,60,1.051,75.0,2.7,18.0
American Amber Ale,5.78,26.16,11.66,28.39,90,1.04,75.0,1.5,12.78
American Amber Ale,5.12,32.03,13.31,26.5,60,1.043,65.0,1.75,18.33
American Light Lager,5.34,63.69,19.66,24.61,60,1.045,65.0,1.25,18.89
American Brown Ale,5.75,35.85,18.28,10.0,90,1.0290000000000001,75.0,3.2,16.5
American Stout,6.9,76.56,38.42,49.21,60,1.065,75.0,1.25,18.89
American Stout,5.45,81.23,40.0,49.21,60,1.054,78.0,1.25,19.44
American Amber Ale,5.79,32.73,14.56,240.0,60,1.0490000000000002,78.0,3.5,19.0
American Amber Ale,5.67,33.29,13.48,14.5,60,1.036,78.0,6.0,20.0
American Amber Ale,5.16,27.13,10.51,26.5,60,1.046,73.0,1.5,18.89
American Stout,6.0,54.05,40.2,34.56,90,1.0490000000000002,89.0,2.8,18.0
American Amber Ale,6.04,88.95,9.74,26.5,60,1.045,65.0,1.5,19.44
American Brown Ale,10.03,133.57,20.3,22.71,60,1.088,75.0,1.35,15.56
American Amber Ale,6.64,61.78,19.89,34.07,90,1.041,75.0,1.5,20.0
American Amber Ale,5.46,38.85,14.56,29.0,90,1.045,70.0,3.2,19.0
American Brown Ale,6.43,34.04,16.51,30.28,60,1.045,70.0,1.5,19.44
American Brown Ale,6.63,88.39,19.81,28.39,70,1.0490000000000002,82.0,1.5,24.44
American Brown Ale,5.49,20.2,19.64,28.39,90,1.0390000000000001,70.0,1.25,20.0
American Stout,9.95,35.75,40.0,28.39,60,1.069,70.0,1.25,20.0
American Amber Ale,5.68,33.26,16.16,28.39,60,1.0390000000000001,70.0,1.5,20.0
American Stout,5.97,37.56,40.0,14.0,60,1.043,35.0,3.0,20.0
American Brown Ale,4.94,25.95,25.26,28.39,60,1.038,70.0,1.25,20.0
American Amber Ale,8.18,69.29,14.68,56.78,90,1.055,70.0,1.5,18.33
American Brown Ale,5.58,22.76,28.21,110.0,60,1.048,75.0,3.0,18.0
American Brown Ale,5.5,29.38,26.56,28.5,90,1.04,70.0,4.2,19.0
American Amber Ale,5.01,19.08,17.15,32.18,90,1.04,70.0,1.5,21.11
American Amber Ale,5.17,32.1,13.05,28.39,60,1.037,70.0,1.25,20.0
American Brown Ale,6.29,38.78,28.76,28.39,60,1.048,71.0,1.4,15.56
American Amber Ale,5.69,81.46,8.94,26.5,60,1.044,70.0,1.33,20.0
American Brown Ale,7.2,100.29,27.88,56.78,90,1.056,90.0,1.25,18.89
American Brown Ale,7.48,58.08,22.23,45.42,60,1.064,70.0,1.25,15.56
American Brown Ale,5.15,30.82,33.51,28.4,75,1.04,65.0,2.18,18.0
American Amber Ale,4.7,26.53,17.19,15.14,60,1.0390000000000001,70.0,1.5,18.89
American Amber Ale,5.71,40.92,14.63,26.5,60,1.04,65.0,1.3,17.78
American Stout,6.47,62.67,37.51,26.5,60,1.051,75.0,1.2,20.0
American Amber Ale,5.44,27.14,18.25,28.39,60,1.04,75.0,1.33,20.0
American Amber Ale,7.14,121.0,16.8,32.18,90,1.048,70.0,1.5,18.33
American Brown Ale,5.26,26.21,23.66,6.62,60,1.028,60.0,1.5,15.56
American Brown Ale,7.2,33.74,23.74,44.48,60,1.065,75.0,1.2,18.33
American Stout,6.88,17.01,42.82,70.0,60,1.052,70.0,3.0,22.0
American Amber Ale,5.59,48.26,10.84,24.61,90,1.045,70.0,1.5,20.0
American Amber Ale,4.43,28.51,14.54,28.0,60,1.036,80.0,3.0,19.0
American Brown Ale,5.98,25.7,19.49,26.5,60,1.047,80.0,1.3,20.0
American Brown Ale,4.65,28.97,18.16,28.39,60,1.035,70.0,1.5,20.0
American Amber Ale,6.08,11.68,12.21,18.93,60,1.0390000000000001,75.0,1.5,22.22
American Amber Ale,5.49,38.25,17.11,28.39,60,1.037,70.0,1.5,20.0
American Stout,5.86,48.7,30.48,28.39,60,1.052,70.0,1.5,21.11
American Amber Ale,7.01,43.46,14.49,48.07,60,1.052,68.0,1.5,20.0
American Amber Ale,6.16,30.86,13.82,33.12,60,1.0390000000000001,75.0,1.5,18.89
American Brown Ale,5.43,26.5,19.56,26.5,90,1.047,80.0,1.25,18.33
American Brown Ale,5.99,28.4,24.22,55.6,90,1.051,65.0,4.0,20.0
American Amber Ale,5.11,30.78,10.58,56.78,90,1.0390000000000001,75.0,1.5,12.22
American Amber Ale,4.94,40.2,13.33,33.31,60,1.0290000000000001,60.0,1.5,21.11
American Amber Ale,5.51,36.86,7.8,540.0,60,1.05,75.0,2.54,20.0
American Stout,5.94,36.44,47.55,68.14,60,1.062,85.0,1.5,18.89
American Stout,6.82,54.09,26.37,24.61,60,1.052,75.0,1.5,20.0
American Amber Ale,5.29,38.68,15.76,26.5,60,1.044,85.0,1.25,20.0
American Brown Ale,5.31,41.22,26.73,28.39,60,1.041,73.0,1.5,18.89
American Brown Ale,5.43,27.95,23.76,28.39,60,1.041,80.0,1.5,20.0
American Amber Ale,5.43,46.84,14.26,28.0,60,1.051,72.0,3.0,20.0
American Brown Ale,5.58,33.5,19.79,22.71,90,1.05,70.0,1.4,21.11
American Amber Ale,6.88,42.75,18.79,26.5,60,1.05,70.0,1.5,21.11
American Amber Ale,5.66,34.1,11.49,25.55,60,1.042,60.0,1.5,20.0
American Stout,6.35,43.07,37.95,18.02,60,1.04,75.0,1.5,22.78
American Stout,5.78,42.41,37.41,45.42,90,1.05,70.0,1.5,19.44
American Stout,7.58,71.8,50.0,43.53,60,1.062,75.0,2.0,19.44
American Amber Ale,5.86,31.35,14.43,60.0,60,1.0490000000000002,70.0,3.0,19.0
American Stout,6.54,74.04,40.0,26.5,60,1.051,75.0,1.25,21.11
American Light Lager,7.08,191.36,7.35,28.39,60,1.053,70.0,1.5,20.0
American Amber Ale,6.4,141.7,11.78,24.61,60,1.054,65.0,1.3,17.78
American Brown Ale,5.02,35.36,25.24,34.07,90,1.0390000000000001,72.0,1.5,20.0
American Amber Ale,5.4,35.58,13.08,28.39,60,1.035,70.0,1.25,20.0
American Stout,6.98,52.61,39.75,26.5,60,1.052,70.0,1.5,21.11
American Brown Ale,4.76,77.65,17.07,28.39,60,1.035,70.0,1.5,20.0
American Stout,6.31,47.95,36.68,27.44,90,1.054,75.0,1.33,18.89
American Amber Ale,4.93,41.83,16.87,26.5,60,1.041,70.0,1.2,19.44
American Stout,5.2,41.76,3.83,53.0,90,1.048,73.0,1.5,17.78
American Brown Ale,4.79,10.09,19.92,41.64,60,1.042,88.0,1.5,18.33
American Amber Ale,5.76,38.63,12.28,28.4,60,1.04,67.0,2.5,19.0
American Stout,6.52,30.05,37.41,24.61,60,1.05,75.0,1.25,20.0
American Amber Ale,7.22,87.57,14.52,26.5,60,1.056,70.0,1.5,18.33
American Brown Ale,5.97,61.64,37.1,28.5,60,1.035,57.0,3.0,18.0
American Amber Ale,5.6,36.94,18.29,28.39,60,1.043,70.0,1.5,19.44
American Brown Ale,5.49,23.12,27.52,25.17,60,1.041,70.0,1.25,17.78
American Brown Ale,5.29,27.42,23.45,24.61,60,1.043,69.0,1.2,20.0
American Amber Ale,4.63,17.87,12.25,26.5,60,1.037,80.0,1.5,20.0
American Amber Ale,6.44,39.67,17.59,32.18,60,1.052,80.0,1.3,20.56
American Stout,8.97,75.83,44.98,20.82,60,1.083,70.0,1.5,19.44
American Brown Ale,6.11,52.06,19.74,59.0,60,1.055,75.0,3.0,19.0
American Stout,6.92,75.95,40.85,53.0,60,1.061,84.3,1.5,20.0
American Light Lager,4.67,23.31,11.45,10.0,60,1.044,80.0,3.0,18.0
American Stout,6.53,73.4,40.0,27.44,90,1.056,65.0,1.3,18.89
American Amber Ale,5.75,37.86,10.01,28.0,75,1.036,73.0,3.0,19.0
American Amber Ale,6.82,79.27,17.24,27.0,60,1.051,70.0,2.6,18.0
American Stout,7.11,44.99,8.94,45.42,60,1.062,70.0,1.5,20.56
American Brown Ale,6.04,50.36,25.32,28.5,90,1.046,60.0,3.0,20.0
American Stout,7.04,21.48,50.0,22.71,60,1.061,65.0,1.5,18.33
American Amber Ale,5.34,60.02,16.26,22.71,60,1.046,70.0,1.25,19.44
American Amber Ale,4.41,42.9,16.39,26.5,60,1.0390000000000001,70.0,1.5,18.33
American Amber Ale,5.34,25.28,11.03,24.61,60,1.042,70.0,1.5,18.89
American Stout,7.24,62.88,41.46,22.71,60,1.06,65.0,0.6,22.22
American Amber Ale,6.06,52.92,11.06,28.5,60,1.046,70.0,2.5,19.0
American Brown Ale,5.85,32.4,25.81,28.39,60,1.04,70.0,1.25,21.11
American Light Lager,5.53,1.66,3.81,66.24,30,1.05,80.0,1.5,17.78
American Brown Ale,7.34,41.95,20.69,24.0,90,1.058,70.0,3.2,19.0
American Stout,5.88,24.55,35.16,165.0,60,1.0390000000000001,75.0,3.5,15.0
American Stout,4.85,30.84,40.51,23.66,60,1.043,76.0,1.5,18.89
American Amber Ale,6.51,54.31,16.26,26.5,75,1.051,81.0,1.5,22.22
American Amber Ale,5.71,33.39,11.61,53.0,60,1.0490000000000002,80.0,1.5,15.56
American Brown Ale,4.98,31.74,21.48,27.44,60,1.04,75.0,1.6,19.44
American Amber Ale,7.17,43.93,15.77,30.0,60,1.065,80.0,3.0,20.0
American Stout,7.03,76.17,40.0,30.28,90,1.06,70.0,1.25,18.33
American Amber Ale,4.62,14.78,11.3,26.5,90,1.036,70.0,1.3,18.33
American Brown Ale,6.08,33.7,26.4,28.39,60,1.042,67.0,1.5,20.56
American Stout,6.43,43.18,36.07,28.39,60,1.05,70.0,1.5,19.44
American Stout,7.27,53.35,37.61,49.21,90,1.057,78.0,1.5,18.33
American Stout,5.36,45.22,40.0,28.39,60,1.048,60.0,1.25,18.33
American Amber Ale,4.56,29.12,7.95,26.5,90,1.045,66.0,0.75,20.0
American Amber Ale,3.94,49.91,11.74,26.5,60,1.028,55.0,3.0,-4.44
American Stout,7.42,63.19,50.0,19.0,60,1.063,60.0,2.6,20.0
American Amber Ale,4.84,19.06,13.8,11.36,60,1.032,65.0,1.0,18.89
American Light Lager,2.66,43.97,14.18,28.39,60,1.021,35.0,1.5,21.11
American Amber Ale,4.85,20.57,17.03,26.5,60,1.042,70.0,1.5,21.11
American Amber Ale,5.28,38.57,18.53,28.39,60,1.036,70.0,1.25,20.0
American Brown Ale,5.57,26.25,19.56,28.39,60,1.042,70.0,1.5,21.11
American Brown Ale,8.37,77.61,19.0,51.48,90,1.063,72.0,1.5,20.0
American Brown Ale,9.6,45.77,28.65,26.5,70,1.072,70.0,1.0,20.0
American Amber Ale,5.9,36.37,13.44,26.5,60,1.043,68.0,1.5,20.0
American Stout,6.13,50.48,38.06,28.5,60,1.053,65.0,3.0,18.0
American Stout,6.89,88.88,50.0,30.28,90,1.044,70.0,1.5,22.22
American Amber Ale,7.04,62.94,14.52,22.14,60,1.064,73.0,1.25,17.78
American Amber Ale,5.97,28.51,10.59,28.0,60,1.045,72.0,4.0,20.0
American Amber Ale,4.98,29.11,13.65,16.0,90,1.044,70.0,3.0,15.0
American Stout,6.6,24.04,45.06,26.5,90,1.057,75.0,3.0,20.0
American Brown Ale,6.29,48.14,26.97,28.39,90,1.053,70.0,1.33,20.0
American Stout,7.96,65.48,40.0,24.61,60,1.06,67.0,1.25,20.0
American Amber Ale,6.29,25.56,15.04,28.39,60,1.041,70.0,1.25,21.11
American Amber Ale,4.5,44.51,16.33,2000.0,60,1.043,85.0,3.0,18.0
American Amber Ale,5.46,39.23,14.56,29.0,90,1.045,70.0,3.2,19.0
American Brown Ale,5.68,8.86,26.51,28.39,60,1.042,70.0,1.5,18.33
American Amber Ale,5.56,70.75,15.17,28.5,60,1.041,70.0,3.0,22.0
American Brown Ale,5.43,45.59,21.0,53.0,60,1.043,71.0,1.5,17.78
American Stout,6.79,24.9,30.12,110.0,60,1.073,80.0,2.5,19.0
American Brown Ale,7.12,42.18,18.28,28.39,60,1.05,70.0,1.25,18.33
American Stout,6.67,24.3,36.02,26.0,60,1.061,70.0,3.0,19.0
American Amber Ale,5.64,12.34,18.61,1.89,60,1.281,70.0,1.5,21.11
American Stout,6.05,33.52,39.83,26.5,60,1.054,70.0,1.5,20.0
American Stout,9.99,173.51,50.0,24.61,60,1.079,59.0,1.5,18.89
American Brown Ale,5.64,29.93,28.16,29.0,90,1.042,61.0,3.0,19.0
American Amber Ale,5.07,37.99,19.25,128.0,60,1.011,75.0,3.0,20.0
American Brown Ale,5.84,24.3,18.66,28.39,90,1.04,70.0,1.25,20.0
American Stout,5.23,42.4,50.0,32.18,60,1.032,65.0,1.5,20.56
American Light Lager,8.48,45.35,6.5,25.55,60,1.062,71.0,1.5,20.0
American Amber Ale,5.23,36.22,13.53,30.28,60,1.042,68.0,1.5,16.67
American Stout,6.1,67.07,40.0,28.39,60,1.048,71.0,1.33,15.56
American Stout,5.07,37.85,40.0,24.61,60,1.041,60.0,1.5,20.0
American Brown Ale,7.05,40.39,22.09,28.0,60,1.053,75.0,3.0,24.0
American Stout,7.57,70.3,37.58,26.5,75,1.054,72.0,1.25,19.06
American Stout,11.81,58.79,23.1,28.39,60,1.078,65.0,1.5,20.0
